Partido,Producto Bruto Geográfico,Impuestos,Valor Agregado Bruto,Total productores de bienes,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Total productores de servicios,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Enseñanza,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Colón,428789527.0699851,72533809.93988703,356255717.13009804,190820177.62394056,73284162.6418682,0.0,0.0,94399960.89934021,12296826.693782974,10839227.388949161,165435539.5061575,46404515.44995355,531977.7545274714,33982299.387821384,5722425.328833856,41293776.32112113,13160777.184182696,10618496.905969525,7455870.18292645,3387356.412711664,2878044.5781097813,I,-61.06311193983571,-33.885921464951416
Coronel de Marina L. Rosales,673956009.254011,115934408.26217404,558021600.991837,145772735.74972886,31773231.271767676,363978.9052133164,235040.24397051055,53937326.503527515,20754060.26388844,38709098.5613614,412248865.2421082,85530697.19913676,5680480.85183504,75005718.76347679,8695892.716931835,83296783.14069065,100676906.8893697,26378127.1468414,17166429.67831668,6569579.373161406,3248249.482347969,I,-61.83558441965541,-38.849077328128345
Coronel Dorrego,580547463.8089777,54063070.10664293,526484393.70233476,354696464.73556,333775527.14658153,0.0,60630.59112831449,7306073.636227373,7961364.838435176,5592868.523187661,171787928.9667748,55810723.58049084,856933.0154896686,57752003.03550184,3300381.939003676,26765571.628542766,11637001.906835362,5417813.730932086,6903163.652521933,1445543.5815252285,1898792.8959313496,I,-61.09555057289474,-38.67081760804668
Coronel Pringles,577828665.6983976,65295240.63717395,512533425.06122375,240881229.4349836,199405925.23380956,0.0,1206572.0575257302,20975714.86499507,7370381.235994811,11922636.042658463,271652195.62624013,57447320.70231837,1087437.5947859157,125872696.02490553,5330921.125379169,40860062.96665093,16991747.57824109,8660331.506504979,7819701.038040487,2614066.1164109036,4967910.973002776,I,-61.264417452992376,-38.147917268965685
Coronel Suárez,989541826.7430104,124033499.36411731,865508327.3788931,523132736.23244053,362260040.7491698,0.0,139258.81227305453,116255880.52964078,13537099.403224373,30940456.73813255,342375591.1464526,118913480.95818016,2442878.7372695142,72304744.99346256,8962635.006328378,72100087.80499977,26650586.42693027,15416994.650902858,14444308.23575592,4738912.11740808,6400962.215215115,I,-61.88909224221714,-37.53485625022395
Daireaux,455290053.94937545,52130431.86356498,403159622.0858105,258621244.71312165,221198262.36844757,0.0,10320.100617585445,25638880.53674794,3351364.8940804047,8422416.813228168,144538377.37268883,44480344.324456796,559977.8646544531,35335023.40404317,4399322.355814378,25976686.090247665,7773960.7940654615,6896998.733710812,7213464.84532033,9621659.066521132,2280939.89385464,I,-61.89124955261026,-36.640869217651705
Dolores,330877231.738057,53145250.837671496,277731980.9003855,54075765.68699834,20823155.181993283,0.0,31533.640775955526,14665914.939259415,6672819.025379783,11882342.899589896,223656215.21338716,57945312.67828688,5450369.127912848,27904360.641240522,6695793.160900954,50118054.650335595,41645357.04013037,13410537.197324967,11755419.305376593,5399167.273734757,3331844.138143689,I,-57.63192612444682,-36.398937673186566
Ensenada,5037044338.124302,825912632.9222397,4211131705.2020626,3508295706.409816,150355.9818706118,0.0,3727509.0781700234,2467216487.3612366,89432274.70991372,947769079.278625,702835998.7922467,117138882.85203144,4879137.873280247,346377074.8176998,9248567.710063903,98583502.2768985,45309738.25642899,24330093.84670024,37841690.450964384,14816214.887857161,4311095.820322121,I,-57.9791090926287,-34.842149742301714
Escobar,3932226687.9697323,693882446.2653592,3238344241.7043734,1480085264.3984928,2980118.494026145,0.0,822951.7673513241,1116689318.3730235,22257146.465989806,337335729.2981019,1758258977.3058805,524622237.81547964,33973073.32233667,342003748.54509854,38001866.75719113,393578764.5141027,85299121.60698721,121138630.97091368,99487454.93895882,75323459.14093593,44830619.69387601,I,-58.77117861087306,-34.32868283418624
Esteban Echeverría,3691368312.748871,735099481.647093,2956268831.101778,1044005717.2453386,1540670.6258119268,0.0,693844.41889013,893800730.2920734,30925557.93289683,117044913.97566624,1912263113.8564394,494696539.15146196,42397296.23318055,330804536.981218,57149896.37668231,507048108.6013733,117746557.85785247,162848948.47757766,106262827.38593891,55404197.43463792,37904205.356516376,C,-58.47694792917772,-34.831213565763235
Exaltación de la Cruz,720371510.2582539,107746429.85294855,612625080.4053054,376274926.91910803,158509550.75281292,0.0,513438.6384219546,125527699.38655987,9314947.229912726,82409290.91140065,236350153.4861974,50443466.36031534,2896105.0504143722,51163855.94659005,5574464.924002504,62059615.41288022,14980968.868782321,16620556.734003523,17420464.81618218,7953746.599854586,7236908.773172312,I,-59.15594613160004,-34.2951342237252
Ezeiza,3253217039.8139873,521898692.4521346,2731318347.3618526,938740513.8811077,5596312.710141802,0.0,886961.5091942096,620511285.2948143,14877112.875484157,296868841.4914732,1792577833.480745,306038397.71630716,60717855.30000881,755548960.3080213,25167572.175871156,302703090.7938837,99691223.1382646,121344847.98281735,51208225.7237978,47157187.90426484,23000472.437508047,C,-58.56470137312473,-34.876096843879324
Florencio Varela,4664104181.119557,976913327.6927935,3687190853.426764,1156600710.4143486,26906966.352106787,0.0,720077.0205140264,991347534.4686596,43591278.02721056,94034854.54585764,2530590143.0124154,477392618.3147615,54142394.50010125,505665254.6044799,52677000.9543163,668712103.0722399,176166774.15914306,283044969.2808672,175605544.43916637,81390021.99053964,55793461.69680041,C,-58.25855488579655,-34.87774482410565
Florentino Ameghino,210869675.93486732,26937293.16346313,183932382.77140418,106343202.44289175,86196845.9727254,0.0,0.0,15118687.210704604,4212495.533549437,815173.7259122884,77589180.32851243,22803267.882143907,376648.5637676696,16185007.161288098,2347988.6506066597,14185840.770149289,7771216.94437242,4253663.04433178,6532000.192917084,1186985.8482637722,1946561.2706717607,I,-62.401716264561934,-34.87410580562333
