Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
San Nicolás,1156894.1597820786,7099.9624323768885,0.0,114.77775737777723,552367.8773772652,42064.52020654097,29904.864276160864,93491.13965364233,5396.602161087615,60332.74974820158,8076.130117168158,55878.734918740185,25768.09475275264,22498.87795467761,9227.171260189389,4792.40452637576,I,-60.29313520389947,-33.482973203953385
Morón,1295858.3518854454,9.846606046954978,0.0,141.61310654306027,262143.8674897824,12512.633663168685,62493.45513783228,269598.1174079254,27777.339492898467,52617.08728078476,37034.6440021997,128736.44594786376,59417.29019935513,72915.24844507762,37829.34533681296,5015.672716252846,C,-58.61983171115767,-34.64938616325765
Florencio Varela,1217434.3535257203,8873.56674400994,0.0,59.33840566574353,248263.97785123988,10253.650847860725,25036.212947363467,155840.78395863125,20631.603814628885,67241.17328878355,12373.058160989278,142544.37814399862,60259.39667585969,69368.10801179065,29671.49662301852,14691.675818390784,C,-58.25855488579655,-34.87774482410565
Berazategui,1096369.6694188074,6293.407225458152,0.0,27684.3684917848,239389.9162303397,12336.9885165176,39657.05833502375,150512.5016176856,17833.578646131664,48433.38535924419,17894.205597877743,119061.69055761816,49969.5836451548,66261.77642163775,29008.65892116015,9779.775641094891,C,-58.155461508690685,-34.81824477056139
Escobar,1041932.3412677686,971.0754098218216,0.0,67.81586472454616,289384.8627876346,5135.630185028462,90442.83418382888,169969.96448376766,13338.979988054489,50296.57429202298,9663.863413480723,85084.304897685,29177.30511435313,38882.75121702513,26503.89029761838,11804.91246195184,I,-58.77117861087306,-34.32868283418624
San Miguel,1043823.826252039,0.0,0.0,72.82843465085577,225422.3359655288,9854.064078016509,55825.20257042774,163248.38215786213,18904.1374621023,43775.16845651264,19090.375333288204,102851.37797543402,52740.696883668425,63076.28086155701,36507.61583248166,10091.09325796576,C,-58.69178352300796,-34.552134348760106
Esteban Echeverría,962491.1162347046,502.28059549266817,0.0,57.17669141507153,219931.478243402,7259.500197647013,31233.17034643844,159787.26960260735,16441.281318057085,45004.36281882308,13914.303509472673,109366.32706712984,40276.24236532187,42086.89068656832,20810.407598916983,9981.031474223531,C,-58.47694792917772,-34.831213565763235
José C. Paz,959319.51790627,67.77715438582034,0.0,22.3516363108056,255758.13855576096,9856.419143423642,20077.86682647426,121637.61160326665,11010.348901830375,42656.81611579323,6828.064114449674,96409.35060208286,39131.81565401094,59119.64756376727,22931.4278883689,12330.064401521888,C,-58.77763459833175,-34.51185316281214
Ezeiza,801986.1932548545,1144.5356417887217,0.0,128.2699450338597,144040.42460957856,4174.383877187396,79600.30664374224,97904.0598107794,24080.86151289598,132579.1824388476,6402.982600691892,64729.420400500254,34100.31475585896,20110.97430740025,17494.77712286221,6056.542728215036,C,-58.56470137312473,-34.876096843879324
Zárate,846928.6802158548,6544.812187389458,0.0,355.70866722105933,319684.9676174373,78674.31074950006,33876.531567789985,88062.30313811415,9317.33738035747,31357.23997413992,5924.887324166944,52027.92970449793,19857.26869580661,16581.609563529546,7180.745300647015,2371.0452840468,I,-59.12821530058707,-33.997089798307286
