Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Ayacucho,132814.5845273796,69104.9553922108,0.0,2.9233684794426256,6613.042773217373,869.5736906908854,2346.18652081768,11114.860166728333,467.38551639840347,5240.151173750248,1398.3021952274523,6465.408274818239,5600.052698062182,2624.633710605306,985.3099234255588,1006.2791656432042,I,-58.44255652392404,-37.03543091226022
Puan,118590.51653501856,53139.23329789208,0.0,6.568873122459166,4937.205341572527,4235.183752178247,1509.2369234616676,17669.68816494384,184.04473848925664,4609.178490979645,1135.7481294910567,7156.337716048743,4700.594309239295,3435.1254871025776,1163.9173821340864,424.5240230057268,I,-63.05741996350521,-38.076062192973495
Adolfo Gonzales Chaves,115446.21350762092,71649.33129416195,0.0,0.8504344667469457,3132.432117029661,1999.8298673077904,1513.0053590147843,7331.311185863259,312.8229981350564,4890.561999423553,858.9080945350411,4353.847391879807,3793.9709301143057,1574.3089461479483,268.19441845650704,396.22242147201166,I,-60.24828213234334,-37.96461590700076
General Juan Madariaga,114242.81954535826,34554.24873505498,0.0,340.80723157058173,2839.2462509102365,6669.503543595958,3516.904572753364,21318.23106562039,1986.589290968984,4429.049474715338,1007.503524174683,6873.940848525807,5217.8637376354445,5972.546720603118,1378.8373732598168,735.8416398765931,I,-57.23066059497484,-37.15351571871585
Navarro,90138.57487155969,26193.404303015952,0.0,2.806433740264921,16088.207577088318,2510.442910524178,1438.3903740563117,9458.60810954402,305.46042503042867,4632.072539627211,920.2158274318004,5649.475293934455,3518.7304763849565,1738.650244251052,472.4206777531829,531.4411843553173,I,-59.42935855410737,-35.03048448174144
San Cayetano,111699.32270281269,76186.5503083212,0.0,3.741911653686561,1429.7376948979845,1929.02487874588,754.1254838623703,6557.606204189602,148.84106125063843,4540.793737814903,592.7206258557694,3215.912028807098,2259.965629828473,2185.9766214791243,324.71580357928224,377.3546871162016,I,-59.58632644005259,-38.38907319734408
Roque Pérez,87015.08164273803,41428.41325512608,0.0,0.7086953889557881,7844.762031217874,605.7746373511326,1090.8184374741213,8316.320944922576,219.1221672376641,4546.349595842009,469.5893830110694,4055.5208632654,3236.142257507397,1778.4806810171003,315.9609272928594,345.9084631898515,I,-59.35751181598193,-35.48163570133388
Magdalena,80752.21889422118,12288.484697541116,0.0,46.91621683625611,13827.254535781602,1607.7466878798095,3710.126152180372,7136.120954642031,284.60881542348045,4132.3286243334205,618.0672203077321,5462.370484643349,7923.932576091764,3574.825159402392,1555.327217676814,506.2842052142372,I,-57.68612798174631,-35.185103070439375
General Viamonte,93358.11086043368,36956.72828075513,0.0,0.8504344667469457,4090.5784074535486,2539.247529652745,1441.5336352989352,10802.02498360264,103.3570509893733,4285.354471582806,1139.877393534092,5957.198808959013,5744.763029280482,3329.230579357012,1237.8604063556309,575.4658978522074,I,-61.04965723440119,-34.99777889141617
General La Madrid,104114.68966984029,67892.610419724,0.0,0.1417390777911576,582.3121348107268,559.4240532552948,613.4936073964074,6665.926460727904,133.1329083194972,4347.367519166472,769.4289905354128,3980.7372885741192,3994.018659879001,2304.2744916197644,242.23588099158653,446.5363797541719,I,-61.3441308948868,-37.35612777700263
Dolores,92123.61433528656,8090.134190513484,0.0,2.5985497595045564,2995.818890973433,1601.4989716057512,3168.5971018675614,17928.543067432995,1697.2480727635127,3566.227404169049,1907.045261645385,10586.234642709886,14230.584317329543,4588.140474060273,2028.8138873497549,877.3496475451688,I,-57.63192612444682,-36.398937673186566
General Las Heras,75771.91987772202,12151.371603096231,0.0,311.7457996233221,20895.287068619866,889.6549086473581,2224.615700389682,6166.05939050254,154.7917382840107,3912.086036179632,1294.752958187921,4742.229857037775,3535.228990315608,2129.562675997932,624.8020286902517,345.9084631898515,I,-58.99544662116543,-34.90942437822857
Capitán Sarmiento,73443.16982886437,12958.8444222632,0.0,0.5669563111646304,20540.63058086282,728.7492136492679,867.8633922512989,7424.280620610779,176.3491882174809,3914.27348148598,889.8554200818788,5109.220066609903,2955.5559733876594,1680.5674434224493,536.9338095629417,537.7304291405873,I,-59.85401478492415,-34.14984452746545
Tornquist,94877.1336870628,30432.5479044954,0.0,622.9201203703931,6255.071366203263,10377.742362913394,5843.090277583139,9075.688000932552,1635.120956152614,3248.7481122326767,705.1710322398102,4647.512207962443,4103.284077964928,2964.5563480402298,854.4848483957721,345.9084631898515,I,-62.29056599774858,-38.25764216358462
Carmen de Areco,78774.33909626206,18404.18476883031,0.0,1.8328676043320504,13313.203802673996,1505.685271695848,2084.5879007568087,11868.989892092744,527.0476597927303,3781.3878523924536,1232.431212848811,5588.5955437428975,3288.6865265250617,1598.9245002007476,282.67874895072333,421.37940061309183,I,-59.88441348822714,-34.40679778852173
General Pinto,82850.71096857857,44088.42228691568,0.0,0.0,1728.762072127257,1377.9957839667632,1478.2555154964082,8086.253650084116,52.206979063125885,3858.29224687063,740.1525854195031,3888.9940485005527,3760.4129040079342,2098.6305189513937,418.8696275825921,490.5610932510621,I,-62.0398793411227,-34.66852314772333
Leandro N. Alem,80161.22820493992,28372.48177933715,0.0,1.0394199038018226,6167.310667058188,1233.2346909677733,1294.3871317655544,10003.551913401045,340.36624410856246,3812.425512644629,937.663531943644,5469.5621593884,2660.495399050837,2932.8395278552784,3048.07659968044,628.9244785270027,I,-61.61277710505372,-34.49841811623317
General Belgrano,79829.52236708297,23279.17586898266,0.0,0.8504344667469457,4506.641545240525,764.0902605857361,2023.699734226096,13464.545454352978,360.6337074370584,3581.563045791178,935.7206848333922,7276.505708622729,4980.2092396023245,2690.0843944726475,1441.5286724659152,518.8626947847772,I,-58.69807996864791,-35.83466234713038
Hipólito Yrigoyen,81673.16004123415,48932.81337241463,0.0,0.2126086166867364,915.5434295570344,1582.6467928177196,937.2571009359184,6536.176968137746,68.91821121008152,3608.504331852931,814.7417674279468,3376.1380766799343,3057.8280631900343,1488.6172799064807,306.6410332028984,424.5240230057268,I,-61.66018762608905,-36.25918902073445
General Arenales,76780.937990447,27620.97065392258,0.0,1.6823812276950447,6134.200412404796,1173.0529048398655,646.0645364360519,11429.339659351246,94.0075156378592,4187.768677478081,918.353630137418,5805.438543765894,3711.2297564755127,1954.1149038475603,410.57652602959695,537.7304291405873,I,-61.28376094504496,-34.237702723957625
Carlos Tejedor,81572.16624843376,45874.65961002028,0.0,0.0,1826.012306234762,1901.1162499877887,1291.3850631323185,5171.405716978293,78.8383161817902,3773.892039847237,738.1528021873088,3660.26528524364,3520.558000059357,1623.9767991671706,424.19049103907537,421.37940061309183,I,-62.42978957905897,-35.37974493759686
Rauch,76843.83574475058,29044.866319114702,0.0,0.8504344667469457,3350.051364144216,980.691098078624,1235.1457795141605,12528.861505629722,230.8538756211524,3213.803525999486,1089.84319989741,5487.657134249694,4384.225500260127,2034.615371903028,830.4811767098928,760.9986190176733,I,-58.94414136661356,-36.57219444905631
Laprida,73382.59487225264,36959.2508659539,0.0,3.316244454986767,1069.9928787776128,578.8266889034749,1489.178922172618,6807.0091856774925,109.78097355993287,5467.607467838186,833.9701924676909,3839.946780320774,3742.678330228369,2217.761508770316,259.7047088774316,396.22242147201166,I,-60.7681481810556,-37.51650558510951
Pellegrini,67438.22066291339,43733.61773290613,0.0,0.0,940.2194150810292,260.37106018761415,877.7718959676769,5041.481098503771,34.728053453460724,3048.004231876648,630.1363540567866,2215.0302636837946,1886.7148657977607,893.1352178111423,124.6751988004749,273.5821481592462,I,-63.22575729643671,-36.27118962588466
Salliqueló,61226.51252836289,27386.75763155783,0.0,2.087430054742503,4914.722093826112,1200.276659670872,330.872211902708,7152.014653317541,270.7990750079148,2849.2021412665,628.0722387786116,3243.5377503412096,2642.02192309743,1234.847965675733,265.71675738832494,465.404114109982,I,-63.04797352661801,-36.67177753536309
Castelli,58123.62799432514,16253.737987789618,0.0,11233.635541438418,1864.5577463776003,1715.4731768915092,2902.491712443432,5035.024122270499,520.6274386237442,2708.9980803802528,427.3708711344947,2682.197523914372,3284.472927240918,1359.6919050239485,550.0843812605444,185.5327211654658,I,-57.657425194384295,-36.04148974406188
Alberti,60228.24310922386,18555.778027413828,0.0,0.0,4163.4932757672905,564.5079987795139,4139.693496233905,9633.530212306012,99.30722077092032,2735.459080641712,1278.2130372394,3862.403069751736,3204.9474738319914,1842.074192360264,317.5339400494544,415.0901558278217,I,-60.28197659181342,-35.03696851072887
General Alvear,66607.8828078128,35243.53799964352,0.0,0.0,1942.3951352017584,626.6087322784829,1067.3933969382074,3905.433274177662,110.5179106880436,2802.1400234991443,641.893228767304,3042.9720032194577,5553.159927708537,1581.0003650531326,270.32598297213434,286.16063772978623,I,-60.13315310376701,-36.03471064969906
Florentino Ameghino,57821.6616429127,24329.45847570228,0.0,0.0,3672.6352580687367,1119.4861220103917,216.04400917921888,7302.997001193895,134.56084233869692,2673.962429562331,649.6915051858172,2981.998235238565,2658.220920103135,2459.887806054153,438.4840664848391,512.5734499995071,I,-62.401716264561934,-34.87410580562333
Tres Lomas,56354.0811621598,30437.079728376928,0.0,0.8504344667469457,1110.241344931779,474.477011484602,1098.6689594766233,5347.894631221609,102.113791496996,2482.394805366024,736.7286117984726,2989.1006845425577,2478.6638397512247,1289.8246904916568,225.4377173928216,245.28054662553103,I,-62.863907772543854,-36.497100216315246
General Paz,48358.588108960255,12551.089509823058,0.0,2.242054503241948,4334.906446418089,1292.87660941124,1249.9792792539306,5719.381012543545,166.45635163151837,2288.1243891930712,641.6465905946225,4309.195670598593,3305.9115440298056,1665.3755577921818,814.4917434882276,323.89610644140635,I,-58.38965195928212,-35.46618301040534
Suipacha,47833.53427139686,9142.612396856835,0.0,3.0788311107863344,7507.497534797003,1035.2396607393814,1002.6483357488298,7346.177030364778,107.79979415472567,2300.196457000944,821.0710960492091,3938.356481648429,2149.260880191653,2190.259092664132,452.7987598065863,411.9455334351868,I,-59.7033860486745,-34.7485741353289
Maipú,56755.61859348706,22246.61986502829,0.0,0.8504344667469457,1036.8113397412012,1521.662276600753,884.2869192341888,10285.538313063043,291.14641217181764,2273.515157973925,872.3662336081213,3695.672299574582,2827.6196142925487,1682.152384447592,406.5709338894762,371.0654423309316,I,-57.5861191040646,-36.88693320831441
Monte Hermoso,47179.144113070615,487.8809826727193,0.0,0.0,561.0953694052313,778.4525198032649,23149.37413681264,4930.9998996171535,1570.6136413988656,986.483173623141,413.43456357359673,3515.046754265758,2847.0286737036754,1381.39631133746,795.5674082339648,91.19404938641536,I,-61.292146695533546,-38.96162378869968
Tapalqué,52933.153081230535,23547.8120744664,0.0,0.354347694477894,787.109300633189,585.9117761930687,2653.034034307348,4432.880568700169,96.80510640804115,1993.745064704765,956.6207296692804,3070.450402723101,4235.370588707528,1805.8337300946307,328.0138938382902,418.2347782204568,I,-60.1310650281927,-36.34714364042298
Punta Indio,40440.09879611719,8677.915727632644,0.0,4.242402536955048,2891.9416023285803,1714.609914463242,1107.036692934329,3885.091922529275,103.71067215761076,1591.4099559239426,678.0374613545439,4015.453677019076,4673.358495062937,2195.019978389668,358.44502407012294,330.1853512266764,I,-57.39923404019261,-35.426055876666695
Pila,33649.422227413546,23421.21720579524,0.0,0.0,158.60610617220843,35.360725548160616,580.08231311589,662.2711191661112,19.442082803540792,1433.585792032526,131.87335379404448,1236.7751582486023,283.08732458093266,1253.04471519755,26.704056832279942,116.35102852749549,I,-58.34044305056631,-36.20298422407131
General Lavalle,28335.19653950224,12563.820430938476,2127.408342222077,0.2126086166867364,407.0027760350088,867.840174168444,204.4664315243016,2492.817868694824,140.5426693858575,1146.6878563814882,174.36932322651882,1469.6938634820162,1311.0355753488718,878.0358908211975,91.22751764654956,31.44622392635013,I,-56.94100298951157,-36.65075037731833
Lezama,26203.09752753392,10261.84864767343,0.0,10.904704918724695,444.9867355562625,492.2672203303743,451.3022034495633,3093.779935240246,211.7829486412428,1095.2166210581286,404.46340339378736,2096.3127178303694,1407.6958054913891,1397.619855643218,446.398712046808,97.48329417168542,I,-57.89484438957691,-35.849208392140426
General Guido,28653.54667728467,17688.12909412602,0.0,0.0,240.24999878048,214.81598485147143,436.5917106398369,1385.4798280398911,1092.8945728887254,1099.0707368387718,99.98034829000744,1019.7537078206916,1206.3656597458,814.4802472451129,18.70335895113617,119.4956509201305,I,-57.99573659518094,-36.66603454161071
Tordillo,14408.290641770598,7906.681695125374,0.0,0.0,129.73471876783117,176.80362774080305,227.47708387376144,591.3286267626598,17.045213763970235,515.5645930435038,129.7669940022178,743.1175229452074,1512.4679119133204,411.3254373331497,5.646388413698067,25.156979141080107,I,-57.27381164494107,-36.390515121940616
