id,Partido,Cantidad de habitantes,Superficie Km2,Densidad hab/km2,Región,nam,longitud,latitud
511,Maipú,11323.0,2601.65,4.35,I,Maipú,-57.5861191040646,-36.88693320831441
515,Malvinas Argentinas,350674.0,63.09,5558.31,C,Malvinas Argentinas,-58.71213724162299,-34.487311344554456
518,Mar Chiquita,33110.0,3096.68,10.69,I,Mar Chiquita,-57.6432660560119,-37.49864059832368
525,Marcos Paz,67011.0,455.12,147.24,I,Marcos Paz,-58.8478312046275,-34.814002964759815
532,Mercedes,72970.0,1049.47,69.53,I,Mercedes,-59.420481139404174,-34.69732132630403
539,Merlo,582464.0,173.13,3364.32,C,Merlo,-58.74195841400745,-34.71100327848002
547,Monte,24868.0,1847.54,13.46,I,Monte,-58.7672358383075,-35.50982675832066
553,Monte Hermoso,8465.0,209.0,40.5,I,Monte Hermoso,-61.292146695533546,-38.96162378869968
560,Moreno,576578.0,186.13,3097.72,C,Moreno,-58.81089850843214,-34.61068078658314
568,Morón,331140.0,55.66,5949.34,C,Morón,-58.61983171115767,-34.64938616325765
574,Navarro,19899.0,1617.56,12.3,I,Navarro,-59.42935855410737,-35.03048448174144
581,Necochea,102110.0,4791.57,21.31,I,Necochea,-59.16738694687353,-38.25541100461289
588,9 de Julio,52607.0,4284.05,12.28,I,9 de Julio,-60.97542544156492,-35.4812271476929
595,Olavarría,125751.0,7658.78,16.42,I,Olavarría,-60.670205401274366,-36.857634046571874
602,Patagones,37646.0,13569.71,2.77,I,Patagones,-62.8528487281345,-40.19750368056085
609,Pehuajó,44783.0,4531.89,9.88,I,Pehuajó,-61.92812573435128,-35.88362083427663
616,Pellegrini,7143.0,1820.17,3.92,I,Pellegrini,-63.22575729643671,-36.27118962588466
623,Pergamino,115340.0,3010.19,38.32,I,Pergamino,-60.54478269502504,-33.83608889833079
630,Pila,4642.0,3452.99,1.34,I,Pila,-58.34044305056631,-36.20298422407131
638,Pilar,394754.0,383.01,1030.66,I,Pilar,-58.90333273036289,-34.44816400539137
644,Pinamar,39449.0,66.89,589.76,I,Pinamar,-56.87028341221286,-37.11107429053595
648,Presidente Perón,102106.0,120.73,845.74,I,Presidente Perón,-58.39808421053574,-34.929847840660656
651,Puan,16613.0,6370.92,2.61,I,Puan,-63.05741996350521,-38.076062192973495
655,Punta Indio,12297.0,1550.74,7.93,I,Punta Indio,-57.39923404019261,-35.426055876666695
658,Quilmes,633348.0,91.49,6922.59,C,Quilmes,-58.27685802099024,-34.73497079923798
665,Ramallo,39730.0,951.51,41.75,I,Ramallo,-60.0575075532403,-33.58718654444796
672,Rauch,16635.0,4315.26,3.85,I,Rauch,-58.94414136661356,-36.57219444905631
679,Rivadavia,19849.0,3954.92,5.02,I,Rivadavia,-63.09476060532436,-35.58105621230825
686,Rojas,25627.0,1978.87,12.95,I,Rojas,-60.78802346478486,-34.19281738957139
693,Roque Pérez,13977.0,1572.22,8.89,I,Roque Pérez,-59.35751181598193,-35.48163570133388
700,Saavedra,22537.0,3541.48,6.36,I,Saavedra,-62.434382913662354,-37.77063813310089
707,Saladillo,35656.0,2685.18,13.28,I,Saladillo,-59.70266074454165,-35.676806452055615
721,Salliqueló,9427.0,794.0,11.87,I,Salliqueló,-63.04797352661801,-36.67177753536309
714,Salto,39425.0,1611.08,24.47,I,Salto,-60.30528786872549,-34.271077786927606
728,San Andrés de Giles,26510.0,1132.04,23.42,I,San Andrés de Giles,-59.4731985904796,-34.437731429026705
735,San Antonio de Areco,26897.0,857.59,31.36,I,San Antonio de Areco,-59.5194434817456,-34.22075756601425
742,San Cayetano,8994.0,2757.5,3.26,I,San Cayetano,-59.58632644005259,-38.38907319734408
749,San Fernando,171590.0,877.08,195.64,C,San Fernando,-58.53458165688239,-34.15583611197679
756,San Isidro,297270.0,51.44,5778.97,C,San Isidro,-58.53720907659796,-34.48689295456971
760,San Miguel,328776.0,82.8,3970.72,C,San Miguel,-58.69178352300796,-34.552134348760106
763,San Nicolás,167824.0,652.26,257.3,I,San Nicolás,-60.29313520389947,-33.482973203953385
770,San Pedro,68613.0,1319.3,52.01,I,San Pedro,-59.78262676124897,-33.78098661235622
778,San Vicente,98215.0,656.27,149.66,I,San Vicente,-58.43181206032507,-35.071508716932144
784,Suipacha,11786.0,943.87,12.49,I,Suipacha,-59.7033860486745,-34.7485741353289
791,Tandil,145573.0,4836.53,30.1,I,Tandil,-59.18198278964916,-37.33642931678382
798,Tapalqué,10783.0,4149.24,2.6,I,Tapalqué,-60.1310650281927,-36.34714364042298
805,Tigre,446925.0,304.35,1468.46,C,Tigre,-58.588173872599945,-34.38201990803981
812,Tordillo,2542.0,1295.61,1.96,I,Tordillo,-57.27381164494107,-36.390515121940616
819,Tornquist,14810.0,4149.33,3.57,I,Tornquist,-62.29056599774858,-38.25764216358462
826,Trenque Lauquen,49309.0,5509.19,8.95,I,Trenque Lauquen,-62.63507978320753,-36.05676627217776
833,Tres Arroyos,62426.0,5962.88,10.47,I,Tres Arroyos,-60.237417324749416,-38.51181427533482
840,Tres de Febrero,364140.0,43.04,8460.5,C,Tres de Febrero,-58.579188399544506,-34.596010073528305
847,Tres Lomas,9164.0,1262.45,7.26,I,Tres Lomas,-62.863907772543854,-36.497100216315246
854,25 de Mayo,35563.0,4769.45,7.46,I,25 de Mayo,-60.2302837885281,-35.527208971909204
861,Vicente López,282243.0,33.77,8357.8,C,Vicente López,-58.50448651303782,-34.52653142374062
868,Villa Gesell,37463.0,165.45,226.43,I,Villa Gesell,-57.06339788227943,-37.3670719559948
875,Villarino,32716.0,10099.85,3.24,I,Villarino,-62.72651337506887,-39.13020024373348
882,Zárate,132216.0,1188.85,111.21,I,Zárate,-59.12821530058707,-33.997089798307286
0,Total Provincia,17522570.0,304907.0,57.5,,,,
