id,Partido,PBG,VAB,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,Servicio Doméstico,Total de actividades,Región,longitud,latitud
266,Exaltación de la Cruz,784152626.5573217,672198064.4593091,442136332.39235896,196062431.53125808,0.0,1675721.422466073,128189857.70994912,8994459.811533779,107213861.91715184,230061732.0669502,48508787.73215263,2813166.551335431,50450241.62899878,5765910.266211417,59252140.52925496,14982256.962061286,18733167.22317852,16101417.407936843,7717275.0236500595,5737368.742170298,672198064.4593091,I,-59.15594613160004,-34.2951342237252
270,Ezeiza,2772436285.594946,2288767491.48167,848737948.2803771,6180710.178282144,0.0,3487605.455634531,584320271.5268794,14868544.639855076,239880816.4797261,1440029543.2012928,286140399.1173537,58050175.40841544,474175195.4355981,25190144.114893503,289695711.0159313,96495449.9185103,88474357.96067828,48882381.6122991,49387437.6823511,23538290.935261857,2288767491.48167,C,-58.56470137312473,-34.876096843879324
274,Florencio Varela,4478224745.093588,3500649598.319604,1132415204.2723303,26405734.940166727,0.0,645528.1137874726,996286586.1892006,41512995.54776699,67564359.48140866,2368234394.0472736,470462327.1894293,52119213.21109901,514167784.0904907,52764985.37890136,639270123.8066461,144215783.45096686,189108774.2050176,161159357.2187735,97459459.70095135,47506585.79499768,3500649598.319604,C,-58.25855488579655,-34.87774482410565
277,Florentino Ameghino,265795536.4316077,234979182.3841152,155089252.70875892,132602553.67907436,0.0,0.0,16627464.851944266,4136439.945600081,1722794.232140228,79889929.67535628,23107812.7179268,302062.7204759979,16970627.3906953,2560966.745122219,13652513.062125318,7858012.177271022,6585539.971386096,6285722.279557578,1114815.9005604256,1451856.7102355314,234979182.3841152,I,-62.401716264561934,-34.87410580562333
280,General Alvarado,605148372.4235907,516676826.5288084,228406572.68402627,176973809.80184847,0.0,10273.656983355002,18175781.55532554,15538824.699350497,17707882.970518403,288270253.8447821,71618851.60783833,9764648.478538305,48930435.67307042,5644211.243732935,72662988.59710458,23057528.78301556,34771174.86570871,10981272.154597756,8940995.553834125,1898146.887341363,516676826.5288084,I,-58.07180537257197,-38.20262771283584
287,General Alvear,237485851.107678,206705128.1948964,127627226.56489174,114629633.25143774,0.0,0.0,8750704.40338034,2492102.589850808,1754786.3202228572,79077901.63000466,11995105.952084474,245546.84458812728,17113536.792525046,2477062.808202269,13906404.100665696,14590608.163453268,13126336.81903482,4071840.723823295,771156.7781701629,780302.647457499,206705128.1948964,I,-60.13315310376701,-36.03471064969906
294,General Arenales,416111784.30851793,367591921.51959866,231577262.6055532,198619667.92247805,0.0,22259.5901306025,26649444.222843103,4506205.837200313,1779685.0329011069,136014658.91404548,42887712.50279377,193039.45352772565,29913249.93959629,3942554.062154996,26885060.56693077,10668706.60531442,13347099.777758868,4755761.888155475,1558929.1664619525,1862544.9513511965,367591921.51959866,I,-61.28376094504496,-34.237702723957625
301,General Belgrano,319659173.8160688,275220949.1681315,117909930.83930628,88091010.18021704,0.0,10273.656983355002,21198819.60072597,3029243.5671106502,5580583.834269228,157311018.32882524,43542525.300704986,879733.9146247155,23747073.90954344,3775555.95772522,32480481.07250416,14394847.42460904,26175917.767146587,6922605.170241911,4104824.83984538,1287452.9718797717,275220949.1681315,I,-58.69807996864791,-35.83466234713038
308,General Guido,90109431.28521591,80540556.00284377,54489452.93579321,48635351.32082851,0.0,0.0,987100.1429796264,814072.2139229064,4052929.2580621694,26051103.06705056,4401134.5615157485,2083873.4180274927,6171909.687185671,395962.5310458064,4619872.626959078,3669355.788053164,2171753.5385325006,2154696.041193416,103773.088001041,278771.7865366424,80540556.00284377,I,-57.99573659518094,-36.66603454161071
315,General Juan Madariaga,388788031.52654266,340492846.20945835,141387722.98709556,89197342.2557848,0.0,4948642.23042855,11472254.294329252,14817089.90641519,20952394.300137777,199105123.2223628,65511800.82412113,6453453.67234917,27575643.620058447,3835180.547734835,31430527.65598054,14853954.760272987,25495570.39797173,15502426.068672655,6081333.249075559,2365232.426125769,340492846.20945835,I,-57.23066059497484,-37.15351571871585
322,General La Madrid,338028317.64821774,302918205.5190566,208049815.79219228,198383873.05608216,0.0,0.0,2221721.974035756,2148332.6307642125,5295888.131310143,94868389.72686432,22473276.852131523,271712.190121833,21657415.91440436,2812298.236278543,18205677.531587925,11650158.33695001,9828105.991690308,5780252.154756511,1033133.0638291565,1156359.45511416,302918205.5190566,I,-61.3441308948868,-37.35612777700263
329,General Las Heras,341694841.5216895,284304913.9909818,177486444.90658906,52897179.25854581,0.0,10729030.4037339,101381619.13068315,3104106.0691987653,9374510.04442746,106818469.08439276,19545408.85152251,407368.5239500897,23086808.620152377,3720611.84147013,21910225.50781083,9984334.76762434,19963072.142027978,5280058.601899445,1783910.419089084,1136669.8088459887,284304913.9909818,I,-58.99544662116543,-34.90942437822857
336,General Lavalle,115053299.92283028,102474756.13709705,45902122.95721118,30964682.966284607,9351848.341754798,0.0,1800334.3178818056,3431695.5556899626,353561.7756000081,56572633.17988585,7924183.746825293,373517.7777731136,6684683.259651098,676142.5318403433,6825989.87420441,3768484.077910213,8189509.718208827,2285063.1697472534,19791267.82063873,53791.20308655284,102474756.13709705,I,-56.94100298951157,-36.65075037731833
343,General Paz,209071642.95176983,177585698.48025584,92871328.19609538,56652363.982804775,0.0,30820.970950065,20570537.43816747,4818354.407551889,10799251.396621184,84714370.28416047,18193988.237885434,439483.2289328468,15165914.0265008,2328509.102560024,19646409.78016132,9484649.018894034,12449779.58653174,4221431.971830479,2064751.254891363,719454.0759724312,177585698.48025584,I,-58.38965195928212,-35.46618301040534
351,General Pinto,394439001.0316001,353718736.74578047,251753551.8346096,228881476.7559197,0.0,0.0,8912658.564610103,5405184.340120237,8554232.173959466,101965184.91117091,25083363.97447476,141901.37781732192,23954306.200756624,2760435.593697562,18177356.95459076,10733935.20532483,12935854.038206393,5513915.258538958,996895.51434584,1667220.793417866,353718736.74578047,I,-62.0398793411227,-34.66852314772333
357,General Pueyrredon,9832138866.187073,8221537217.190365,2862679310.599214,275427673.98144424,482617356.38191074,25320737.594144564,1747426192.2277231,128310524.62350208,203576825.7904892,5358857906.59115,1759517306.1580338,257309160.1727788,784321892.1490672,176042386.21230254,1042823611.6815944,353673024.60676897,403490242.0382153,317445039.3250661,218734287.68876937,45500956.55855456,8221537217.190365,I,-57.74302834770776,-37.96568314236043
364,General Rodríguez,1874933709.800001,1531072749.0818567,761550969.6190567,86170164.98675847,0.0,6955107.862737632,476169900.3581805,7877854.413981337,184377941.9973987,769521779.4628001,181771110.3122992,7032949.898667561,196044545.68922728,10997082.580239125,197965086.5546204,46001649.7666985,59798654.27069439,37166317.94321642,16909324.984634936,15835057.462502353,1531072749.0818567,I,-58.987846798266986,-34.65061569024568
371,General San Martín,6718900268.018527,5480491327.347963,2247016456.466915,0.0,0.0,1166060.0676107926,2056807572.0598168,55452883.08607327,133589941.25341465,3233474870.881048,974760952.287678,54922512.27917312,501556584.4303453,138640042.14635822,709730258.6781952,217421962.48445863,198944339.9591964,248671467.3589128,146334389.22007447,42492362.03665548,5480491327.347963,C,-58.56428216799652,-34.552771927080705
385,General Viamonte,438303841.0490127,385026274.7373872,241903033.8766691,210064932.1383721,0.0,10273.656983355002,18469498.609590776,9836893.536123252,3521435.935599633,143123240.86071813,35104834.61003559,335284.6961445879,29465382.17708581,4169364.4997195313,27656185.548907712,16560863.33431648,16566238.191158814,8291281.829278971,3275904.313714009,1697901.660356626,385026274.7373872,I,-61.04965723440119,-34.99777889141617
392,General Villegas,1128981491.8685665,1010925049.2554196,716704497.9001255,657913727.8005444,0.0,35957.7994417425,38050358.59523174,13652913.41074485,7051540.294162739,294220551.3552941,104450191.62653758,1515630.973583317,71473637.57122985,8033926.243727505,50509639.10546966,20839337.70321901,19241269.528426573,10213490.596803678,3090864.951660136,4852563.054636836,1010925049.2554196,I,-62.95376490781935,-34.76871192027906
399,Guaminí,532295673.0159539,482020458.73213565,302877705.9938936,286926827.0670975,0.0,17122.761638925,3372605.280072476,2989337.326430113,9571813.558654532,179142752.73824206,25043490.96536071,254832.2755071316,102222935.83309604,2981285.084629791,18134868.638595484,11392824.72700167,11574342.227897476,5806213.646668496,540074.498577625,1191884.8409076657,482020458.73213565,I,-62.41853106096796,-36.89067551095447
406,Hipólito Yrigoyen,303336850.6583486,270973039.09670675,190246521.3691788,176077215.4661262,0.0,0.0,3199815.349884271,6015935.4933360005,4953555.059832284,80726517.72752799,20703837.32885243,187123.6379955301,19112253.387810264,2895756.7698226287,15331540.44694439,9436433.768297745,6985176.181339136,3940027.142416245,916510.722794215,1217858.3412554043,270973039.09670675,I,-61.66018762608905,-36.25918902073445
408,Hurlingham,2414916754.559638,1953464025.316363,759360426.3443053,5341.734741822335,0.0,419507.66015366255,669036052.2558808,23914623.612357315,65984901.08117169,1194103598.9720578,330409986.9515996,18423512.28121815,192037030.7145069,52549224.780133374,284226023.99479324,78895804.35606496,76404293.01143013,92201643.98814546,51944210.92291593,17011867.97125011,1953464025.316363,C,-58.64952538675535,-34.59928305531323
410,Ituzaingó,2354717275.4987407,1935169395.7827733,675294919.573472,16025.204225467009,0.0,618987.8332471388,509202772.5409642,27256900.67484961,138200233.3201857,1259874476.2093017,391726977.71086377,30186666.824018948,182949401.0234165,63871911.29552523,292399077.69909215,77646388.89430074,79104834.54252434,77533290.60590856,46214755.50815398,18241172.105497453,1935169395.7827733,C,-58.68875951557909,-34.63607161201617
412,José C. Paz,3469387334.4336967,2747345997.347434,1112016949.752992,192302.45070560407,0.0,238862.52486300367,986518525.1304368,37314360.45251946,87752899.194467,1635329047.594442,366835967.4062509,26360497.171616707,308101445.089462,29553048.48989168,432551064.7106545,110522559.95897996,122773653.5847241,140450232.77866888,60455473.66256503,37725104.74162809,2747345997.347434,C,-58.77763459833175,-34.51185316281214
413,Junín,1716138231.7664094,1472108110.175075,593342388.3473518,281252472.4890098,0.0,372420.0656466188,214885153.81219763,27290630.75224641,69541711.22825134,878765721.8277231,329120988.4761301,7997864.299954267,123780980.92090017,34549425.32213406,149380192.70307824,68733607.42570025,61892651.95692112,73235322.3989142,20259667.63825888,9815020.685731605,1472108110.175075,I,-61.00525012787072,-34.546475132400666
420,La Costa,1146017690.3124745,968377083.784896,288539873.9371886,354129.5188063138,2393402.335830726,61641.941900130005,42829399.06573803,46834664.90528741,196066636.16962603,679837209.8477073,179392603.07668778,36784126.86042259,90590707.87063022,11376765.487337803,190084624.7984242,57683861.21625155,45469497.45727429,23446466.036299303,43273617.06041724,1734939.9839621803,968377083.784896,I,-56.71594027517684,-36.69716782095072
427,La Matanza,18812000795.189453,14813309434.172714,5422626606.391589,3079867.4953792067,0.0,4909779.775586503,5118462311.261929,152436560.2593528,143738087.59934253,9390682827.781126,2338014753.537511,131206910.0563876,1813266851.5555933,307892343.4398178,2330800562.1208496,692656849.8665602,734246096.6579294,571709981.4961325,338803923.6255951,132084555.42475104,14813309434.172714,C,-58.62544569444762,-34.770348101664
441,La Plata,8477417474.203256,7003785312.8727255,1421964392.395336,88047155.40229973,0.0,37453535.80243395,971031210.3464243,146611365.39331985,178821125.45085797,5581820920.477389,1391281641.8892555,110213115.005666,720375749.1488688,268882294.0423708,1144793724.5129054,798610859.8279183,494628822.54574895,368245203.9919426,215851946.0720166,68937563.44069712,7003785312.8727255,C,-58.01777778856708,-35.003847015806244
434,Lanús,6330226080.282104,5164499524.525965,1821251175.7572708,0.0,0.0,1684879.7452702203,1600391188.992154,88283486.10359111,130891620.91625512,3343248348.7686944,933952588.6142884,69320254.29039717,461200404.5710965,206668432.3911621,820832451.3414682,230320439.8654841,165797425.61910558,245323486.01153228,171558875.9944685,38273990.06969171,5164499524.525965,C,-58.39469650482231,-34.705654244172585
448,Laprida,231931369.55164573,204164000.6088798,94885873.87302102,82689765.78033611,0.0,57361.25149039875,4558378.309606761,2160315.135850492,5420053.395737257,109278126.73585878,24497063.439104088,250480.4512016748,34327542.570395365,3111161.2346951845,17664070.600115377,10835886.763250226,10445764.974884173,5784202.295155501,1172005.7309638984,1189948.6760933169,204164000.6088798,I,-60.7681481810556,-37.51650558510951
455,Las Flores,445846117.98156285,379179700.8063784,186334592.9203905,100430547.16718324,0.0,185781.96378233624,58426262.6472702,13245749.788969452,14046251.353185276,192845107.88598785,41070087.50872654,642346.254138076,51777479.7563592,5966651.7443536585,40953094.687106974,17714903.002478737,23953191.42035725,5973869.053987748,3162894.9361692,1630589.5223104402,379179700.8063784,I,-59.17646094976033,-36.01582665716056
462,Leandro N. Alem,387761990.02937263,338864695.8938514,215007727.7112176,175119296.5101735,0.0,3424.552327785,27369668.516313523,4962826.11086039,7552512.021542402,123856968.18263385,29653325.61434441,844308.6453433386,25916653.772236846,4016377.478878476,25027297.92085881,7710240.634274605,14790669.151872445,7855466.651237067,6233586.933421742,1809041.380166084,338864695.8938514,I,-61.61277710505372,-34.49841811623317
466,Lezama,110190194.86779036,96726859.36232084,43940122.485297695,37371792.256148726,0.0,394294.00714463583,2228537.094773829,1778090.1885263307,2167408.9387041694,52786736.87702315,8484004.851023056,634488.006059208,7276101.689213766,1613135.143741932,15017635.349368151,5070600.14939087,9416697.00083307,3945332.4006798775,942142.1553542728,386600.1313589458,96726859.36232084,I,-57.89484438957691,-35.849208392140426
469,Lincoln,1030660601.0880368,902181624.074994,555506262.0741711,451065125.0901873,0.0,56505.1134084525,79336815.900965,16408979.929260548,8638836.04034981,346675362.000823,99371422.5177318,1642846.040559654,73001904.57639638,11432758.562638154,67272327.47761054,29993149.331020545,36951540.37690026,16425817.065110318,5456579.817616789,5127016.235238633,902181624.074994,I,-61.6824583851243,-35.07044796967019
476,Lobería,660481024.31396,595629954.9247123,443900707.7571813,412687472.5164641,0.0,10098381.670035671,7810417.68496314,4711662.608858417,8592773.276859935,151729247.16753104,36371801.66585453,324442.042903178,40801992.37642326,3620269.41059758,27664076.01227087,13464522.160884667,20759504.11669109,4927624.562571639,1468705.4417657345,2326309.377568512,595629954.9247123,I,-58.693549778673294,-38.09005281868384
483,Lobos,618497597.5538504,520699137.00629777,251366909.2840337,133972340.41270676,0.0,61641.941900130005,83443228.92874964,15151461.655525517,18738236.34515169,269332227.72226405,84010600.32119077,3798995.643244568,46605512.5247732,11227995.050686626,57993582.8339403,17929469.55996774,25620757.72929068,12879512.87956832,6197197.867647864,3068603.311953996,520699137.00629777,I,-59.14574188278556,-35.219585786144144
490,Lomas de Zamora,8318515571.996389,6710652155.202113,2288413564.3722105,380007.92277824593,0.0,2094113.748440528,2061019998.444676,93882779.47812907,131036664.77818638,4422238590.829903,1124140701.9966197,88083180.7511611,689564254.0269499,219992369.1462909,1082445082.7081146,329466291.7823964,336133214.16814566,308806228.1443311,183492180.36730164,60115087.73859212,6710652155.202113,C,-58.42409543043943,-34.75496795553667
497,Luján,1990159009.6004388,1668032647.0133896,869686337.487675,56613296.42359717,0.0,2404654.136053364,513641437.3829368,48882966.12566677,248143983.4194208,798346309.5257146,209183887.06570995,18708280.414611746,127367605.4427383,23429732.136149008,160851187.09345195,54515257.41794202,74290906.86404115,93348481.98931544,24639882.05276499,12011089.048989862,1668032647.0133896,I,-59.15845643998639,-34.56732241969334
505,Magdalena,350743939.6020436,285310475.6813153,149002726.20148054,42941326.88085298,0.0,617299.8409777131,89626920.6222486,6459685.594024943,9357493.263376309,136307749.47983474,22841785.958464,1391048.8598185803,27879619.41181944,2332056.651656243,25693288.76137445,22752546.548419327,17912184.642237242,9228353.04255332,4244577.472403664,2032288.1310884585,285310475.6813153,I,-57.68612798174631,-35.185103070439375
511,Maipú,197132964.3170848,172130087.46331614,81851758.40077445,60585654.58788816,0.0,10273.656983355002,5094868.589907206,6257608.687208018,9903352.878787711,90278329.0625417,33424770.20584715,541900.4494967146,14136344.688800842,3322791.051320468,17083696.3370187,8134268.133597918,7147883.428907776,4307928.85772296,1044529.560506633,1134216.349322528,172130087.46331614,I,-57.5861191040646,-36.88693320831441
515,Malvinas Argentinas,5110992651.663447,4150454101.921965,1878498685.345435,130872.50117464716,0.0,464882.9784968138,1659399083.7580185,28850367.123128373,189653478.98461625,2271955416.5765305,735195560.1737041,49381752.11109272,401574707.3746396,54093301.87414824,492885474.2630008,99079259.81476995,119844896.7220568,150753418.4860275,104663265.6062618,64483780.15082898,4150454101.921965,C,-58.71213724162299,-34.487311344554456
518,Mar Chiquita,546712747.4844981,475452751.7283065,272599112.80084145,133810273.08748046,0.0,10273.656983355002,25819101.30673871,11176185.22130446,101783279.5283345,202853638.92746505,46607019.179014966,3935251.90854398,36642184.16192131,3864314.910594289,51751846.096549496,17395059.037842948,16687781.562402872,20390002.00413477,3888752.399461412,1691427.666998976,475452751.7283065,I,-57.6432660560119,-37.49864059832368
525,Marcos Paz,791115742.9366219,638374930.3339679,317875459.5489617,38112573.80541649,0.0,58217.38957234501,147140522.37029755,121528269.81201448,11035876.171660837,320499470.78500617,57906887.0723208,5087324.697110214,60549858.02676045,7186346.714966873,82855814.21273243,36850899.12627485,39999583.17987748,17453355.08389027,7310514.143529588,5298888.527543209,638374930.3339679,I,-58.8478312046275,-34.814002964759815
532,Mercedes,982166648.5909604,808875401.2020992,333204571.01581985,74807436.63345976,0.0,142118.92160307753,212543112.678334,15448097.501565997,30263805.280857094,475670830.18627936,123105444.6539208,4418996.700462177,78137095.6137076,18788108.3105243,102081693.82552782,63133721.81424438,49408383.49950653,19705262.4319091,10451007.51459377,6441115.821882931,808875401.2020992,I,-59.420481139404174,-34.69732132630403
539,Merlo,6194615929.858339,4909690692.259725,1840730529.331457,5190073.202708551,0.0,773092.6879974637,1680841553.3173058,60817741.71788615,93108068.40555872,3068960162.9282675,716987160.5055234,52385784.24265096,554345384.628469,90675981.8966695,775147876.1307335,256385947.88985687,202319704.3322148,236050872.3196193,127786043.4183674,56875407.56416296,4909690692.259725,C,-58.74195841400745,-34.71100327848002
547,Monte,462940442.6073621,390573647.0607304,244287326.36167827,119517323.25871097,0.0,878532.8789911517,94499327.03200737,11534450.17241587,17857693.01955288,146286320.6990521,38757903.061185375,1760247.939389962,32048095.801050745,4414077.040123336,33773468.640774995,11809201.087485185,12964514.067325477,5757975.109115072,2508797.323382437,2492040.629219513,390573647.0607304,I,-58.7672358383075,-35.50982675832066
553,Monte Hermoso,167746139.2784372,150202608.76035887,82330848.44201404,1409268.6258695582,0.0,0.0,2517779.815360153,2974762.585549665,75429037.41523466,67871760.31834483,15481589.704494944,4651002.376040382,8123092.391678031,1495421.4912720406,16284922.668936204,8236104.786434581,7536101.960750205,3524822.227505664,2367508.851349561,171193.85988322008,150202608.76035887,I,-61.292146695533546,-38.96162378869968
560,Moreno,5485668596.995766,4326102577.4856205,1508623713.4880233,3439909.377918512,0.0,565907.2721664713,1313162385.1131656,41515246.9624246,149940264.76234818,2817478863.997597,699927227.7367337,39590485.343836725,522487829.25738734,57159319.63217429,766551889.5276787,224095252.8907794,217859040.4060697,139573718.19338447,91862693.8083382,58371407.201214485,4326102577.4856205,C,-58.81089850843214,-34.61068078658314
568,Morón,4763104726.032835,3945940951.159018,1324053763.386066,28729.832593765783,0.0,1549609.928322713,1019255472.0772152,55137304.22932469,248082647.3186097,2621887187.772952,816818857.8773203,62701887.5519775,357202231.0778278,153377533.761037,559868476.8353754,172526687.8667218,204253738.5663147,178524074.45669538,99067021.21694164,17546678.56274047,3945940951.159018,C,-58.61983171115767,-34.64938616325765
574,Navarro,395835261.5373361,335767800.5057201,221963664.18870023,122194182.06104983,0.0,15410.4854750325,71682595.87275222,9470961.29135263,18600514.47807049,113804136.31701984,28951804.075058408,588952.6442462156,26500424.46536804,3557359.8471458824,25815866.534343105,9924619.527354134,10325837.318050204,4623251.423142216,1541248.6607030511,1974771.821608592,335767800.5057201,I,-59.42935855410737,-35.03048448174144
581,Necochea,1611458579.0517242,1387115055.4761238,487638126.3493424,255115135.4051674,2334047.170262953,5656673.835017682,102129081.25121106,70952133.56745364,51451055.12022962,899476929.1267816,321388320.98317945,12134327.530941002,189585254.65059853,25305925.32726746,155003665.32359675,62169328.85273342,70364203.52114402,31287322.73574522,22110954.223766424,10127625.977809465,1387115055.4761238,I,-59.16738694687353,-38.25541100461289
588,9 de Julio,1173534662.7326963,1025249671.9468336,605430130.1770214,468531433.9477845,0.0,58217.38957234501,99901386.57297088,26069170.311295964,10869921.955397598,419819541.7698124,159856581.9119076,2113780.813774064,79372061.91042382,12633022.722441372,73648758.08227132,26310621.54559568,36347917.28984377,17818407.953407314,5409273.637434982,6309115.902712454,1025249671.9468336,I,-60.97542544156492,-35.4812271476929
595,Olavarría,2948300007.972114,2491529569.948483,1468395668.259687,280977775.8440498,0.0,258891054.83972752,845428301.4480884,42649522.85610126,40449013.27171987,1023133901.688796,277137925.64309835,8573453.818351336,298927410.2150999,27163005.519473784,174873203.32692763,72288867.69776167,85774315.1303478,37724848.22673713,26702679.123906583,13968192.987091703,2491529569.948483,I,-60.670205401274366,-36.857634046571874
602,Patagones,520303392.1192149,448344606.577288,183571066.18472928,136987773.84978306,0.0,2173142.853515116,13382167.057876486,11013191.186077978,20014791.237476613,264773540.3925588,84754575.95150803,1649420.5594998612,40813372.63074444,6360826.918191004,51201050.45781369,32199531.155817136,29733829.017786715,8467709.722217008,5930865.015518548,3662358.963462381,448344606.577288,I,-62.8528487281345,-40.19750368056085
609,Pehuajó,1067104185.6639992,947680219.1858488,569545045.1544418,481471633.09359306,0.0,55648.97532650626,37641613.00936769,24731741.5020155,25644408.574139148,378135174.0314069,127907650.57922287,1711525.1718315352,72428453.42929089,11626125.392292894,66119289.14068802,33602627.9619177,36630410.754113294,17313574.442891777,5660049.206399258,5135467.952758637,947680219.1858488,I,-61.92812573435128,-35.88362083427663
616,Pellegrini,236976315.7752381,213058374.33771527,153810742.3577271,143473398.9337625,0.0,0.0,3102873.7262826096,1149132.0012997368,6085337.696382276,59247631.97998817,15866927.970038064,68140.14578726726,14470765.655625427,2613320.7287055245,10115372.52653929,5358947.222799585,7228569.200259764,2288567.7148867906,515827.8178314749,721192.9975149821,213058374.33771527,I,-63.22575729643671,-36.27118962588466
