Región,id,Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,longitud,latitud
I,826,Trenque Lauquen,11351,2405,1206,0,14,749,193,240,8945,1757,145,576,308,407,4578,686,267,215,-62.63507978320753,-36.05676627217776
I,833,Tres Arroyos,13182,3263,954,1,29,1592,274,410,9918,2153,287,545,436,680,3699,705,867,542,-60.237417324749416,-38.51181427533482
C,840,Tres de Febrero,109399,26522,213,20,221,22612,671,2783,82849,14781,3351,10856,3537,9214,20757,7776,6433,6139,-58.579188399544506,-34.596010073528305
I,847,Tres Lomas,1679,320,224,0,2,58,26,7,1359,203,11,52,35,46,942,23,18,26,-62.863907772543854,-36.497100216315246
I,854,25 de Mayo,7566,1821,1090,0,9,493,89,138,5744,799,48,310,127,251,3391,316,186,312,-60.2302837885281,-35.527208971909204
C,861,Vicente López,79713,14490,269,17,422,11876,470,1433,65167,11062,2612,8417,3555,8298,14207,8723,3639,4649,-58.50448651303782,-34.52653142374062
I,868,Villa Gesell,8422,697,41,5,2,257,179,210,7722,1350,1218,321,108,485,2797,449,116,875,-57.06339788227943,-37.3670719559948
I,875,Villarino,6250,1630,875,0,133,277,139,204,4619,803,57,346,67,235,2709,168,94,137,-62.72651337506887,-39.13020024373348
I,882,Zárate,34128,13109,250,3,344,8179,1430,2900,21014,2341,650,3961,450,3906,6021,1417,1158,1106,-59.12821530058707,-33.997089798307286
,0,Total Provincia,3876329,880474,68055,4214,12403,592810,32322,170667,2995100,465925,122301,339658,89629,310559,1000257,266580,203164,197023,,
