,links,usuario,fecha,retweet,texto,comentarios,retweets,likes,quotes,hora,cuenta,autor
5911,https://twitter.com/PatoBullrich/status/1765845201862443299#m,Patricia Bullrich,2024-03-07,False,"los presos en la carcel gracias a la jueza maria claudia morgese martin, del tribunal oral en lo criminal federal ndeg 5 de san martin, por escuchar la peticion del @minseg y seguir el juicio a ""mameluco"" villalba por videoconferencia y no presencial. !la ciudadania, mas segura!",90,807,3257,15, 9:01 PM UTC,PatoBullrich,Patricia Bullrich
5912,https://twitter.com/PatoBullrich/status/1765788553160614102#m,Patricia Bullrich,2024-03-07,False,"la denuncia ya esta en la justicia en septiembre del 2020, el ministerio de seguridad de la nacion, de un dia para otro, agrego al contrato de seguros la intermediacion de un broker, algo absolutamente innecesario, dado que ya se contaba con nacion seguros en forma directa. extrano, ?no? en diciembre detectamos tal irregularidad y ordenamos la baja inmediata del broker. un ahorro de 800 millones de pesos.",226,2499,9369,24, 5:16 PM UTC,PatoBullrich,Patricia Bullrich
5913,https://twitter.com/PatoBullrich/status/1765757017967173902#m,Patricia Bullrich,2024-03-07,False,"kilometro 246, ruta 9. fueron de sorpresa, llegamos y despejamos. las rutas no se cortan. ley y orden.",513,2801,14542,75, 3:10 PM UTC,PatoBullrich,Patricia Bullrich
5914,https://twitter.com/PatoBullrich/status/1765558771420381467#m,Patricia Bullrich,2024-03-07,False,"pedimos que el juicio de ""mameluco"" villalba sea por videoconferencia para evitar sacarlo decenas de veces a la calle, poniendo en peligro a la sociedad. https://www.clarin.com/policiales/puede-fugar-mameluco-villalba-drastico-pedido-ministra-bullrich-pleno-juicio-candela_0_atmnea9qe4.html",86,987,3568,7, 2:03 AM UTC,PatoBullrich,Patricia Bullrich
5915,https://twitter.com/PatoBullrich/status/1765472062574047303#m,Patricia Bullrich,2024-03-06,False,"la oficial de la pfa yanina marotte uso su arma y actuo en legitima defensa, defendiendose de dos delincuentes que la agredieron ferozmente. ella no puede seguir presa. para nosotros las victimas no pueden ser victimarios.",2299,8951,43953,563, 8:18 PM UTC,PatoBullrich,Patricia Bullrich
5916,https://twitter.com/PatoBullrich/status/1765454524506890638#m,Patricia Bullrich,2024-03-06,False,"les deseo lo mejor en su capacitacion a los aspirantes de la policia federal de la escuela federal de suboficiales y agentes ""don enrique o'gorman"" en este inicio del ciclo lectivo.",78,750,5084,8, 7:08 PM UTC,PatoBullrich,Patricia Bullrich
5917,https://twitter.com/PatoBullrich/status/1765437416884605378#m,Patricia Bullrich,2024-03-06,False,"seguimos sacando cocaina del camino ahora, 17 kilos en oran, salta. los gendarmes esperaron a los narcos y los interceptaron con la droga en cajas y mochilas. estamos ordenando el pais y liberandolo de la droga. miles de dosis no van a llegar a destino: se incautan, se queman.",184,1921,8217,37, 6:00 PM UTC,PatoBullrich,Patricia Bullrich
5918,https://twitter.com/PatoBullrich/status/1765372782911578202#m,Patricia Bullrich,2024-03-06,False,"el domingo tirotearon a dos micros del servicio penitenciario de santa fe. una clara amenaza de los narcos en las carceles. en rosario, el gobernador pullaro actuo con claridad. en las carceles federales contamos con el protocolo de gestion para presos de alto riesgo, con el que controlamos uno por uno a los narcos santafesinos para que no actuen y para que la carcel no sea un lugar del delito. felicitaciones, gobernador. el que las hace, las paga.",949,4335,25756,234, 1:44 PM UTC,PatoBullrich,Patricia Bullrich
5919,https://twitter.com/PatoBullrich/status/1765171174361780571#m,Patricia Bullrich,2024-03-06,False,"!vamos a hacer historia! gracias a todos los ministros y jefes de policia de todo el pais por estar. en cada rincon, el que las hace las paga.",470,2826,13673,66, 12:22 AM UTC,PatoBullrich,Patricia Bullrich
5920,https://twitter.com/PatoBullrich/status/1765097160943530154#m,Patricia Bullrich,2024-03-05,False,"trabajamos en conjunto para que haya menos delitos, menos homicidios, menos crimen organizado, mas tranquilidad y mas paz. en definitiva, para mejorar la vida a los ciudadanos. todas las provincias argentinas son parte de este esfuerzo nacional.",137,1135,5047,26, 7:28 PM UTC,PatoBullrich,Patricia Bullrich
5921,https://twitter.com/PatoBullrich/status/1765031844972462348#m,Patricia Bullrich,2024-03-05,False,"ya estamos reunidos con todos los ministros del pais en un nuevo consejo de seguridad interior. el trabajo mancomunado con los ministerios, las fuerzas federales y provinciales es fundamental para lograr nuestros objetivos y llevar cada dia mas seguridad a todos los argentinos. porque el que las hace, las paga.",351,2120,10703,55, 3:09 PM UTC,PatoBullrich,Patricia Bullrich
5923,https://twitter.com/PatoBullrich/status/1764775991732289767#m,Patricia Bullrich,2024-03-04,False,"!otro detenido mas por distribuir material de abuso sexual infantil! realizando tareas de prevencion en redes surgio que este hombre subia videos de una nina a la que ofrecia sexualmente. la pfa identifico la ip y lo fue a buscar a avellaneda. !el que las hace, las paga!",227,1983,8793,45, 10:12 PM UTC,PatoBullrich,Patricia Bullrich
5924,https://twitter.com/PatoBullrich/status/1764695886922235977#m,Patricia Bullrich,2024-03-04,False,"54 kilos de cocaina con la marca del delfin la investigacion que surgio de los 17 kg incautados en salta llevo a gna hasta santiago del estero, donde detuvo a 4 narcos trasladando 37 kg con la marca del cartel del golfo. !eslabon por eslabon desarticulando la cadena delictiva!",167,1562,6226,48, 4:54 PM UTC,PatoBullrich,Patricia Bullrich
5925,https://twitter.com/PatoBullrich/status/1764649705319862489#m,Patricia Bullrich,2024-03-04,False,"mas de 640 kilos de droga en la frontera los narcos la cruzaban en canoas, la arrojaban sobre nuestra costa y volvian inmediatamente a la costa paraguaya. gendarmeria, vigilando los margenes del rio, freno el ingreso y la incauto en misiones. droga que se incauta, se quema.",390,2382,9612,182, 1:50 PM UTC,PatoBullrich,Patricia Bullrich
5926,https://twitter.com/PatoBullrich/status/1764420582328689108#m,Patricia Bullrich,2024-03-03,False,"!presos por producir y vender material de abuso sexual infantil a otros paises! pfa investigo con todas las herramientas del area de ciberdelitos y los detuvo en misiones y en tucuman. si tenes informacion o sos victima de ciberdelito, hace la denuncia anonima al 134.",248,2795,10353,59, 10:40 PM UTC,PatoBullrich,Patricia Bullrich
5927,https://twitter.com/PatoBullrich/status/1764355572776743304#m,Patricia Bullrich,2024-03-03,False,78 barras afuera del estadio kempes en equipo todo se puede. entre el @minseg y el @minsegcba paramos a 78 barras. los violentos no entran a las canchas.,189,1707,8030,27, 6:22 PM UTC,PatoBullrich,Patricia Bullrich
5928,https://twitter.com/PatoBullrich/status/1764284611226456378#m,Patricia Bullrich,2024-03-03,False,"casi 1 tonelada de droga menos en 3 dias a los 600 kg incautados dias atras en corrientes, gna le sumo 347. intercepto el camion que venia de paraguay custodiado por un auto puntero y detuvo a dos narcos. a lo largo y ancho del pais trabajando por una argentina libre de droga.",330,2397,10863,41, 1:40 PM UTC,PatoBullrich,Patricia Bullrich
5929,https://twitter.com/PatoBullrich/status/1764024451660709951#m,Patricia Bullrich,2024-03-02,False,"terminar con las mafias en las carceles gracias a la excelente labor que lleva adelante el spf se terminaron los privilegios para los presos. con la mas alta tecnologia y personal capacitado, las drogas, las armas y los celulares no entran a la carcel. quedo atras la era del vale todo.",269,2290,9588,45, 8:26 PM UTC,PatoBullrich,Patricia Bullrich
5930,https://twitter.com/PatoBullrich/status/1763934589100134599#m,Patricia Bullrich,2024-03-02,False,"este video lo dice todo. no tengo mas palabras para agradecer el impecable trabajo de las fuerzas de seguridad para mantener el orden publico anoche, durante el discurso del presidente javier milei. !felicitaciones!",1081,5406,27771,202, 2:29 PM UTC,PatoBullrich,Patricia Bullrich
5931,https://twitter.com/PatoBullrich/status/1763743662205231508#m,Patricia Bullrich,2024-03-02,False,"es todo o no es nada enorme discurso del presidente @jmilei. llego la hora: los argentinos de bien nos merecemos un mejor pais, sin los obscenos privilegios de la clase politica.",2512,8294,43151,334, 1:50 AM UTC,PatoBullrich,Patricia Bullrich
5932,https://twitter.com/PatoBullrich/status/1763619048657473652#m,Patricia Bullrich,2024-03-01,False,"!seis narcos presos! una denuncia en rosario fue el puntapie para desarticular una banda que vendia al menudeo. la pfa los identifico uno por uno: al que preparaba, fraccionaba, vigilaba, vendia. todos adentro. denuncia al narco al 134. es anonima. te cuidamos.",283,2329,10113,38, 5:35 PM UTC,PatoBullrich,Patricia Bullrich
